wc_player_id,full_name,known_name,country,position,price,club_league,club_name,club_player_id,club_match,curated_player_id,curated_match,euro2024_goals
1679,Tawfik Bentayeb,,MAR,FWD,4.7,Ligue 1,Tawfik Bentayeb,1103080,full_name,,,
1680,Yanis Begraoui,,MAR,MID,5,,,,,,,
1681,Sander Tangvik,,NOR,GK,3.5,,,,,,,
1682,Thelo Aasgaard,,NOR,MID,5.5,,,,,,,
1683,Fredrik Aursnes,,NOR,MID,6.5,Liga Portugal,Fredrik Aursnes,fm:728,full_name,,,
1684,Martin Ødegaard,,NOR,MID,7.7,Premier League,Martin Ødegaard,547410,full_name,,,
1685,Lorenzo Melgarejo,,PAR,MID,5.5,,,,,,,
1686,Rubén Lezcano,,PAR,MID,5,,,,,,,
1687,Carlos González,,PAR,FWD,5.7,,,,,,,
1688,Isidro Pitta,,PAR,FWD,5.9,,,,,,,
1689,Adrián Alcaraz,,PAR,FWD,4.5,,,,,,,
1690,Adam Bareiro,,PAR,FWD,5.7,,,,,,,
1691,Ronaldo Martínez,Ronaldo Martínez,PAR,MID,5,,,,,,,
1692,Robert Morales,,PAR,FWD,5.3,,,,,,,
1693,Ilay Camara,,SEN,DEF,3.8,,,,,,,
1694,Moustapha Mbow,,SEN,DEF,3.7,,,,,,,
1695,Bara Sapoko Ndiaye,,SEN,MID,4.5,Bundesliga,Bara Sapoko Ndiaye,fm:171123497,full_name,,,
1696,Sadio Mané,,SEN,MID,7.6,Saudi Pro League,Sadio Mane,fm:23191,full_name,701e1aae-bdfa-562a-8484-ecc062af28e2,name+country,
1697,Brandon Petersen,,RSA,GK,3.6,,,,,,,
1698,Sipho Chaine,,RSA,GK,3.7,,,,,,,
1699,Thabiso Monyane,,RSA,DEF,3.6,,,,,,,
1700,Olwethu Makhanya,,RSA,DEF,3.5,MLS,Olwethu Makhanya,fm:379762,full_name,,,
1701,Bradley Cross,,RSA,DEF,3.6,,,,,,,
1702,Thapelo Morena,,RSA,DEF,3.8,,,,,,,
1703,Lebohang Maboe,,RSA,MID,5.1,,,,,,,
1704,Kamogelo Sebelebele,,RSA,MID,4.5,,,,,,,
1705,Patrick Maswanganyi,,RSA,MID,5.9,,,,,,,
1706,Brooklyn Poggenpoel,,RSA,MID,4.3,,,,,,,
1707,Iqraam Rayners,,RSA,MID,5.3,,,,,,,
1708,Jarell Quansah,,ENG,DEF,4.4,Bundesliga,Jarell Quansah,fm:851,full_name,,,
1709,Reece James,,ENG,DEF,5.2,Premier League,Reece James,885908,full_name,,,
1710,Eberechi Eze,,ENG,MID,8,Premier League,Eberechi Eze,864921,full_name,,,
1711,Ollie Watkins,,ENG,FWD,7.9,Premier League,Ollie Watkins,555386,full_name,,,1
1712,Ivan Toney,,ENG,FWD,7.5,Saudi Pro League,Ivan Toney,fm:17715,full_name,,,
1713,Amine Sbaï,,MAR,FWD,4.8,Ligue 1,Amine Sbai,1392829,full_name,,,
1714,Sondre Langås,,NOR,DEF,4,Championship,Sondre Langas,fm:4091,full_name,,,
1939,Cristhian Loor,,ECU,GK,4,,,,,,,
1940,Deinner Ordóñez,Deinner Ordóñez,ECU,DEF,4.1,,,,,,,
1941,Fricio Caicedo,Fricio Caicedo,ECU,DEF,4,,,,,,,
1942,Ederson Castillo,Ederson Castillo,ECU,MID,4.2,Ligue 1,Romain Del Castillo,825681,unique_last_name,,,
1943,Darwin Guagua,,ECU,MID,4.8,,,,,,,
1944,Malcom DaCosta,,ECU,MID,3.8,,,,,,,
1945,Bruno Caicedo,Bruno Caicedo,ECU,MID,5.2,MLS,Bruno Caicedo,fm:397410,full_name,,,
1946,Luis Fragozo,,ECU,MID,5,,,,,,,
1947,Nilson Angulo,,ECU,MID,6,,,,,,,
1950,Abdulquddus bin Atiah bin Mohammed Atiah Khaoud,Abdulquddus Atiah,KSA,GK,4,,,,,,,
1951,Hassan bin Mohammed bin Osama Al Tambakti,Hassan Al Tambakti,KSA,DEF,4.5,,,,,1eb53d4b-8832-550d-a53e-b9f162bd27cc,name+country,
1952,Zakaria bin Siraj bin Ahmed Hawsawi,Zakaria Hawsawi,KSA,DEF,4,Saudi Pro League,Zakaria Hawsawi,fm:384506,known_name,,,
1953,Jehad bin Abdullatif bin Ahmed Thikri,Jehad Thikri,KSA,DEF,4,,,,,,,
1954,Moteb bin Saad bin Salim Al Naqi Al Harbi,Moteb Al Harbi,KSA,DEF,4.1,Saudi Pro League,Moteb Al Harbi,fm:384444,known_name,,,
1955,Salem bin Mohammed bin Shafi Al Dawsari,Salem Al Dawsari,KSA,MID,7.2,Saudi Pro League,Salem Al Dawsari,fm:384309,known_name,887f45c6-eab1-55f1-b636-edde8636b893,name+country,
1956,Alaa bin Mohsen bin Ahmed Al Hejji,Alaa Al Hejji,KSA,MID,5,Saudi Pro League,Alaa Hejji,fm:384266,unique_last_name,,,
1957,Nasser bin Essa bin Shafi Al Shardan Al Dawsari,Nasser Al Dawsari,KSA,MID,5.2,Saudi Pro League,Nasser Al Dawsari,fm:384285,known_name,14958643-cc31-5955-983f-0d8ae446f7ad,name+country,
1958,Mohammed bin Waheeb bin Saeed Abu Al Shamat,Mohammed Abu Al Shamat,KSA,MID,5.5,Saudi Pro League,Mohammed Abu Al Shamat,fm:384451,known_name,,,
1959,Saleh bin Waheeb bin Saeed Abu Al Shamat,Saleh Abu Al Shamat,KSA,FWD,5.3,Saudi Pro League,Saleh Abu Al Shamat,fm:384312,known_name,,,
1960,Abdullah bin Ibrahim bin Ahmed Al Salem,Abdullah Al Salem,KSA,FWD,5,Saudi Pro League,Abdullah Al Salem,fm:384265,known_name,,,
1961,Alphonso Davies,,CAN,DEF,4.9,,,,,9bd86bbe-c3e8-5d3e-b5cb-c57863c337b9,name+country,
1962,Zorhan Bassong,,CAN,DEF,3.7,,,,,,,
1963,Alistair Johnston,,CAN,DEF,4,,,,,ff5683f5-085c-5367-ab10-2d51ab0cc146,name+country,
1964,Moïse Bombito,,CAN,DEF,4.1,Ligue 1,Moise Bombito,1469180,full_name,,,
1965,Jamie Knight-Lebel,,CAN,DEF,3.7,,,,,,,
1966,Alfie Jones,,CAN,DEF,3.8,,,,,,,
1967,Stephen Eustaquio,,CAN,MID,5,,,,,2e0847c8-f1b2-53f7-822e-b6d242698d3c,name+country,
1968,Jacob Shaffelburg,,CAN,MID,5.2,MLS,Jacob Shaffelburg,fm:379326,full_name,,,
1969,Jayden Nelson,,CAN,MID,5,MLS,Jayden Nelson,fm:34018,full_name,,,
1970,Promise David,Promise David,CAN,FWD,5.4,Serie A,Jonathan David,fm:2194,unique_last_name,,,
1971,Lawrence Ati Zigi,,GHA,GK,4,,,,,43526336-5f5e-5c9a-95e4-a4980e46f985,name+country,
1972,Joseph Anang,,GHA,GK,3.6,,,,,,,
1973,Abdul Baba,,GHA,DEF,3.9,,,,,,,
1974,Alidu Seidu,,GHA,DEF,3.9,Ligue 1,Alidu Seidu,1049515,full_name,c040a803-75b3-5621-8397-f7ae4c9c5ac2,name+country,
1975,Kojo Peprah Oppong,,GHA,DEF,3.5,Ligue 1,Kojo Peprah Oppong,1473092,full_name,,,
1976,Jonas Adjetey,,GHA,DEF,3.5,Bundesliga,Jonas Adjetey,fm:366731,full_name,,,
1977,Abdul Mumin,,GHA,DEF,3.7,La Liga,Abdul Mumin,laliga:abdul-mumin,full_name,,,
1978,Alexander Djiku,,GHA,DEF,4,,,,,4fffc80d-95a3-56dc-9e52-4b833003e239,name+country,
1979,Marvin Senaya,,GHA,DEF,3.5,,,,,,,
1980,Jerome Opoku,,GHA,DEF,3.8,,,,,,,
1981,Gideon Mensah,,GHA,DEF,3.9,,,,,a216db62-5d30-532e-961b-94f4263b5e6d,name+country,
1982,Caleb Yirenkyi,,GHA,MID,4.7,,,,,,,
1983,Thomas Partey,,GHA,MID,6.2,La Liga,Thomas Partey,laliga:thomas-partey,full_name,50a58577-5273-5dea-8d94-05f8a626d945,name+country,
1984,Elisha Owusu,,GHA,MID,5.3,Eredivisie,Tyrone Owusu,fm:336206,unique_last_name,5fc76fc4-038f-5213-bb6e-7bc97d4a4d25,name+country,
1985,Kwasi Sibo,,GHA,MID,4.7,La Liga,Kwasi Sibo,laliga:kwasi-sibo,full_name,,,
1986,Jordan Ayew,,GHA,FWD,5.3,Premier League,Jordan Ayew,103045,full_name,da35b66a-4f31-527e-8e22-a9001af9999b,name+country,
1987,Iñaki Williams,Iñaki Williams,GHA,FWD,5.9,La Liga,Iñaki Williams,laliga:inaki-williams,full_name,b6364f96-076b-536f-b1ac-5d4b77c84007,name+country,
1988,Ernest Nuamah,,GHA,MID,5,Ligue 1,Ernest Nuamah,1202024,full_name,,,
1989,Prince Adu,,GHA,FWD,4,,,,,,,
1990,Abdul Fatawu,,GHA,FWD,6.4,Championship,Issahaku Fatawu,fm:3854,unique_last_name,,,
1991,Christopher Bonsu Baah,,GHA,FWD,4.5,Saudi Pro League,Christopher Bonsu Baah,fm:27477,full_name,,,
1992,Antoine Semenyo,,GHA,FWD,7.2,Premier League,Antoine Semenyo,934354,full_name,0a97b6fc-3d17-58d6-8fea-56833c09d228,name+country,
1993,Brandon Thomas-Asante,,GHA,FWD,5.1,,,,,,,
1994,Kamaldeen Sulemana,,GHA,FWD,5.1,Serie A,Kamaldeen Sulemana,fm:3924,full_name,5d1ac2b3-3c85-5867-abc0-1d22cf665619,name+country,
1995,Eric García,Eric García,ESP,DEF,4.5,La Liga,Eric García,laliga:eric-garcia,full_name,ec71db9a-c8c9-50b9-9fc9-c10b981ff1c2,name+country,
1996,Marc Pubill,,ESP,DEF,4.2,La Liga,Marc Pubill,laliga:marc-pubill,full_name,,,
1997,Mikel Merino,,ESP,MID,6.2,Premier League,Mikel Merino,592010,full_name,,,1
1998,Fabián Ruiz,,ESP,MID,6.8,Ligue 1,Fabián Ruiz,784655,full_name,,,1
1999,Pablo Páez Gavira,Gavi,ESP,MID,6.5,La Liga,Gavi,laliga:gavi,known_name,33f6312a-41c2-51c3-b52f-51530fe1dfe1,name+country,
2000,Nico Williams,,ESP,MID,7.8,La Liga,Nico Williams,laliga:nico-williams,full_name,9d9631db-a838-5a9c-9693-453b93be76f3,name+country,2
2001,Joe Gauci,,AUS,GK,3.9,,,,,,,
2002,Harry Souttar,,AUS,DEF,4.1,Premier League,Harry Souttar,808680,full_name,878a7ce3-766a-5a65-aaa4-623f64eb3a12,name+country,
2003,Cameron Devlin,,AUS,MID,4.7,,,,,78950f82-cd0e-5145-8f0e-23931014457e,name+country,
2004,Jackson Irvine,,AUS,MID,5.6,Bundesliga,Jackson Irvine,fm:5362,full_name,9b617354-2202-50f4-a073-1b60077c3c72,name+country,
2005,Mathew Leckie,,AUS,MID,4.7,,,,,ce7a8439-8c5c-55b5-83c6-9b155e4904b5,name+country,
2006,Mohamed Touré,Mohamed Touré,AUS,FWD,5,,,,,,,
2007,Tete Yengi,,AUS,FWD,4.3,,,,,,,
2008,Brandon Borrello,,AUS,FWD,4.4,,,,,,,
2009,Ahmed Tagnaouti,,MAR,GK,3.5,,,,,,,
